заголовок,movieId,title,id,genres,cast,vote_average,director,keywords,title_key,title_ru,directors_x1,directors_x2,directors_cluster,genre_x1,genre_x2,genre_x3,genre_cluster,cast_x1,cast_x2,cast_cluster,keywords_x1,keywords_x2,keywords_cluster
 Зажигания (2010),86781,Incendies (2010),46738,"['Drama', 'Mystery', 'War']","['LubnaAzabal', 'MaximGaudette', 'MélissaDésormeaux-Poulin', 'RémyGirard']",7.9,Denis Villeneuve,"['checkpoint', 'christian', 'interpreter', 'massacre', 'middleeast', 'militia', 'muslim', 'orphanage', 'politicalassassination', 'prison', 'rape', 'son', 'swimmingpool', 'twins', 'will']",incendies,,6.8193035,11.560836,0,-1.8065395,-4.510037,3.7867138,12,1.7006487,4.6238866,1,11.63476,4.453983,1
 Серфер душ (2011),86815,Soul Surfer (2011),43959,"['Action', 'Drama']","['AnnaSophiaRobb', 'CarrieUnderwood', 'HelenHunt', 'LorraineNicholson']",6.9,Sean McNamara,"['basedonnovel', 'biography', 'competition', 'duringcreditsstinger', 'sharkattack', 'sport', 'surfing']",soulsurfer,,4.76946,6.4804516,0,-9.073725,10.910952,2.1766336,6,1.3418959,4.516466,1,10.360664,-2.3052964,1
 Что-то позаимствованное (2011),86817,Something Borrowed (2011),49022,"['Comedy', 'Drama', 'Romance']","['ColinEgglesfield', 'GinniferGoodwin', 'JohnKrasinski', 'KateHudson']",5.9,Luke Greenfield,"['alcohol', 'basedonnovel', 'bestfriend', 'birthday', 'celebration', 'cheating', 'confidant', 'crush', 'destroy', 'engaged', 'flashback', 'friends', 'lawyer', 'liaison', 'loyal', 'lying', 'newyork', 'pregnancy', 'relationship', 'roses', 'secret', 'wedding']",somethingborrowed,,7.4130816,7.840116,1,-11.609255,-11.696262,6.3907685,7,1.6832737,4.7263756,1,13.324966,10.576752,1
 Подружки невесты (2011),86833,Bridesmaids (2011),55721,"['Comedy', 'Romance']","['KristenWiig', 'MayaRudolph', 'RoseByrne', 'WendiMcLendon-Covey']",6.5,Paul Feig,"['bestfriend', 'bridesmaid', 'casualsex', 'competition', 'drunk', 'fearofcommitment', 'femalefriendship', 'fight', 'girlfight', 'groupoffriends', 'jealousy', 'maidofhonor', 'materialism', 'missingwoman', 'motherdaughterrelationship', 'outofcontrol', 'sexualhumor', 'vanity', 'wealth', 'weddingdress', 'weddingparty']",bridesmaids,,4.33269,11.752615,0,-9.254191,-20.254225,2.5438378,14,1.8154902,5.239906,1,-4.2448277,15.057257,1
 Пираты Карибского моря: На странных берегах (2011),86880,Pirates of the Caribbean: On Stranger Tides (2011),1865,"['Action', 'Adventure', 'Fantasy']","['IanMcShane', 'JohnnyDepp', 'KevinMcNally', 'PenélopeCruz']",6.4,Rob Marshall,"['3d', 'aftercreditsstinger', 'battle', 'captain', 'duke', 'mermaid', 'mutiny', 'pirate', 'primeminister', 'sailing', 'sea', 'ship', 'silver', 'soldier', 'swashbuckler', 'sword']",piratesofthecaribbean:onstrangertides,,7.6060724,6.038218,1,6.19672,-14.489643,-9.188918,10,1.6247647,5.2703853,1,15.002914,6.7169495,1
 Полночь в Париже (2011),86882,Midnight in Paris (2011),59436,"['Comedy', 'Fantasy', 'Romance']","['KurtFuller', 'MimiKennedy', 'OwenWilson', 'RachelMcAdams']",7.4,Woody Allen,"['basedonnovel', 'detective', 'forbiddenlove', 'hemingway', 'midnight', 'nostalgia', 'painter', 'paris', 'past', 'screenwriter', 'sculpture', 'timetravel']",midnightinparis,,-12.152985,-2.6101978,0,-8.546862,-20.26252,0.7375752,14,1.3161423,4.5487103,1,5.6053786,9.26844,1
 Атакуйте блок (2011),87192,Attack the Block (2011),59678,"['Action', 'Comedy', 'ScienceFiction']","['JodieWhittaker', 'JohnBoyega', 'LukeTreadaway', 'NickFrost']",6.3,Joe Cornish,"['alien', 'arrest', 'cannabis', 'carcrash', 'carsetonfire', 'chase', 'crime', 'fireworks', 'meteor', 'moped', 'naivechildren', 'playground', 'race', 'socialsatire', 'streetgang']",attacktheblock,,6.5192466,5.214305,1,11.416169,7.204641,-8.0509405,1,1.5602012,4.5171676,1,5.497559,7.887159,1
 Кунг-фу Панда 2 (2011),87222,Kung Fu Panda 2 (2011),49444,"['Animation', 'Family']","['AngelinaJolie', 'DustinHoffman', 'GaryOldman', 'JackBlack']",6.7,Jennifer Yuh Nelson,"['fleet', 'hope', 'martialarts', 'mission', 'panda', 'womandirector']",kungfupanda2,,6.4421725,8.129326,0,2.5462322,-7.071206,-14.31742,18,1.244577,4.1773405,11,8.583614,6.1897564,1
 Люди Икс: Первый класс (2011),87232,X-Men: First Class (2011),49538,"['Action', 'Adventure', 'ScienceFiction']","['JamesMcAvoy', 'JenniferLawrence', 'KevinBacon', 'MichaelFassbender']",7.1,Matthew Vaughn,"['1960s', 'basedoncomicbook', 'cia', 'cubanmissilecrisis', 'historicalfiction', 'marvelcomic', 'mine', 'mutant', 'nuclearwar', 'superhero', 'superhuman', 'worldwariii']",x-men:firstclass,,9.4416275,2.161261,1,17.111319,2.298493,-2.1201468,17,1.3058414,4.487792,1,1.1585711,6.4190216,1
 Подводная лодка (2010),87234,Submarine (2010),49020,"['Comedy', 'Drama', 'Romance']","['CraigRoberts', 'NoahTaylor', 'PaddyConsidine', 'SallyHawkins']",7.4,Richard Ayoade,"['beach', 'bullying', 'friendship', 'lossofvirginity', 'teenagegirl', 'wales']",submarine,,5.08328,10.001529,0,-11.609255,-11.696262,6.3907685,7,0.37706175,3.0436008,11,6.3990555,-3.6497731,1
 Все должно уйти (2010),87298,Everything Must Go (2010),45658,"['Comedy', 'Drama', 'Romance']","['GlennHowerton', 'LauraDern', 'RebeccaHall', 'WillFerrell']",6.0,Dan Rush,"['alcohol', 'arizona', 'beer', 'independentfilm', 'playboy', 'pregnant', 'repoman', 'salesman']",everythingmustgo,,9.10717,5.1729465,1,-11.609255,-11.696262,6.3907685,7,1.4797065,4.4386835,1,11.629812,-5.7555776,1
 Новички (2010),87304,Beginners (2010),55347,"['Comedy', 'Drama', 'Romance']","['ChristopherPlummer', 'EwanMcGregor', 'GoranVisnjic', 'MélanieLaurent']",6.8,Mike Mills,"['cancer', 'comingout', 'gay', 'lgbtelderly', 'lossoffather', 'lossofmother', 'secret']",beginners,,6.17852,5.109765,1,-11.609255,-11.696262,6.3907685,7,1.1113142,4.43779,1,4.1242237,-3.1915262,1
 Супер 8 (2011),87306,Super 8 (2011),37686,"['Mystery', 'ScienceFiction', 'Thriller']","['ElleFanning', 'JoelCourtney', 'KyleChandler', 'RileyGriffiths']",6.6,J.J. Abrams,"['1970s', 'alien', 'duringcreditsstinger', 'firecracker', 'pistol', 'secret', 'traincrash']",super8,,20.935322,16.254051,1,16.737455,3.9754682,6.3544965,8,0.91542107,3.6818616,11,9.604403,6.5588484,1
 Зеленый Фонарь (2011),87430,Green Lantern (2011),44912,"['Action', 'Adventure', 'ScienceFiction', 'Thriller']","['BlakeLively', 'PeterSarsgaard', 'RyanReynolds', 'TimRobbins']",5.1,Martin Campbell,"['3d', 'alien', 'alieninfection', 'dccomics', 'magicalobject', 'origin', 'protector', 'superhero', 'superpowers', 'transformation']",greenlantern,,6.999431,4.235385,1,18.625187,3.8709693,-1.306999,17,1.6178112,4.7281957,1,13.947528,3.2068863,1
Пингвины мистера Поппера (2011),87483,Mr. Popper's Penguins (2011),58224,"['Comedy', 'Family']","['AngelaLansbury', 'CarlaGugino', 'JimCarrey', 'MadelineCarroll']",5.7,Mark Waters,"['aftercreditsstinger', 'birdhatching', 'doorman', 'duringcreditsstinger', 'exhusband', 'littleboy', 'penguin', 'restaurant', 'ride', 'taxi', 'zoo', 'zookeeper']",mr.popper'spenguins,,5.625975,7.3334765,0,-6.606357,-4.2261305,-21.456577,9,1.3276919,3.863411,11,3.9674327,1.3680532,1
 Плохой учитель (2011),87485,Bad Teacher (2011),52449,['Comedy'],"['CameronDiaz', 'JasonSegel', 'JustinTimberlake', 'LucyPunch']",5.4,Jake Kasdan,"['classroom', 'school', 'teacher', 'workplacehumor']",badteacher,,13.156327,1.8685228,1,-12.003901,15.815363,-13.065905,3,0.9428216,4.123491,11,12.816367,-3.54879,1
 Трансформеры: Тьма луны (2011),87520,Transformers: Dark of the Moon (2011),38356,"['Action', 'Adventure', 'ScienceFiction']","['FrancesMcDormand', 'JohnMalkovich', 'KenJeong', 'ShiaLaBeouf']",6.1,Michael Bay,"['alienplanet', 'basedoncartoon', 'bodyguard', 'commando', 'duringcreditsstinger', 'giantrobot', 'moon', 'sabotage', 'spacecraft', 'traitor', 'transformers', 'worddomination']",transformers:darkofthemoon,,22.5798,23.02213,1,17.111319,2.298493,-2.1201468,17,1.0649798,4.21188,11,1.4218202,10.441708,1
 Ларри Краун (2011),87522,Larry Crowne (2011),59861,"['Comedy', 'Drama', 'Romance']","['BryanCranston', 'CedrictheEntertainer', 'JuliaRoberts', 'TomHanks']",5.7,Tom Hanks,"['backtoschool', 'cellphone', 'classroom', 'college', 'diner', 'economics', 'lossofjob', 'scooter', 'teacher', 'yardsale']",larrycrowne,,6.1600194,7.244343,0,-11.609255,-11.696262,6.3907685,7,0.9270979,4.58295,1,3.9539309,3.8306384,1
 Ваше Высочество (2011),87529,Your Highness (2011),38319,['Comedy'],"['DannyMcBride', 'JamesFranco', 'NataliePortman', 'ZooeyDeschanel']",5.2,David Gordon Green,"['dragon', 'kidnapping', 'king', 'knight', 'minotaur', 'prince', 'princess', 'revenge', 'swordandsorcery', 'traitor', 'virgin', 'wedding']",yourhighness,,6.8540444,5.4444604,1,-12.003901,15.815363,-13.065905,3,0.767849,4.0802736,11,19.349037,4.2311735,1
 Берущие (2010),87785,Takers (2010),22907,"['Action', 'Crime', 'Drama', 'Thriller']","['ChrisBrown', 'HaydenChristensen', 'MattDillon', 'MichaelEaly']",6.0,John Luessenhop,['heist'],takers,,1.9112511,8.260337,0,12.955965,4.0579224,0.080088094,15,1.3941915,4.238444,11,-7.799057,-11.326392,0
 Смотритель зоопарка (2011),87867,Zookeeper (2011),38317,"['Comedy', 'Family', 'Romance']","['KevinJames', 'NickNolte', 'RosarioDawson', 'SylvesterStallone']",5.3,Frank Coraci,"['bullfrog', 'cardealership', 'duringcreditsstinger', 'germanaccent', 'monkey', 'ostrich', 'scientist', 'talkinganimal']",zookeeper,,7.659687,11.116694,0,-7.935858,-20.680313,-4.382949,14,1.1453769,3.4642878,11,-6.1392903,8.164207,0
 Ужасные боссы (2011),87869,Horrible Bosses (2011),51540,"['Comedy', 'Crime']","['CharlieDay', 'JasonBateman', 'JasonSudeikis', 'JenniferAniston']",6.5,Seth Gordon,"['badboss', 'conspiracyofmurder', 'deathoffather', 'duringcreditsstinger', 'employee', 'stakeout']",horriblebosses,,11.220156,11.0764,1,-4.7246647,-4.8564157,-7.4469547,5,0.91986954,4.040728,11,-16.701157,0.757369,0
 Тачки 2 (2011),87876,Cars 2 (2011),49013,"['Adventure', 'Animation', 'Comedy', 'Family']","['EmilyMortimer', 'LarrytheCableGuy', 'MichaelCaine', 'OwenWilson']",5.8,John Lasseter,"['anthropomorphism', 'bestfriend', 'carrace', 'comedy', 'duringcreditsstinger', 'sequel']",cars2,,2.9350004,5.020368,0,-3.9398904,-4.8272133,-19.01345,9,0.8614543,4.0913205,11,1.6953607,-11.060508,1
 Монте-Карло (2011),88108,Monte Carlo (2011),59860,"['Adventure', 'Comedy', 'Romance']","['CoryMonteith', 'KatieCassidy', 'LeightonMeester', 'SelenaGomez']",6.0,Thomas Bezucha,"['americanabroad', 'look-alike', 'mistakenidentity', 'montecarlo', 'texan', 'youngwoman']",montecarlo,,5.8443003,10.128889,0,-6.1636305,-19.339535,-1.4748304,14,1.2683312,4.127553,11,-25.540846,1.0251997,0
 Драйв (2011),88129,Drive (2011),64690,"['Action', 'Crime', 'Drama', 'Thriller']","['AlbertBrooks', 'BryanCranston', 'CareyMulligan', 'RyanGosling']",7.4,Nicolas Winding Refn,"['bloodsplatter', 'bullet', 'carchase', 'crimelord', 'existentialism', 'extremeviolence', 'getaway', 'greatsoundtrack', 'headstomp', 'independentfilm', 'policechase', 'silentprotagonist', 'stuntman', 'violence']",drive,,5.8321695,9.770739,0,12.955965,4.0579224,0.080088094,15,1.1168348,4.108491,11,-2.0466151,0.45183882,1
 Капитан Америка: Первый мститель (2011),88140,Captain America: The First Avenger (2011),1771,"['Action', 'Adventure', 'ScienceFiction']","['ChrisEvans', 'HayleyAtwell', 'HugoWeaving', 'TommyLeeJones']",6.6,Joe Johnston,"['3d', 'aftercreditsstinger', 'basedoncomicbook', 'brooklynnewyorkcity', 'captainamerica', 'marvelcinematicuniverse', 'marvelcomic', 'nazigermany', 'nazis', 'newyork', 'perioddrama', 'superhero', 'usa', 'worldwarii']",captainamerica:thefirstavenger,,5.870644,3.9008865,1,17.111319,2.298493,-2.1201468,17,0.8910478,3.5269186,11,-17.973291,1.7148118,0
" Сумасшедшая, Глупая, Любовь. (2011)",88163,"Crazy, Stupid, Love. (2011)",50646,"['Comedy', 'Drama', 'Romance']","['EmmaStone', 'JulianneMoore', 'RyanGosling', 'SteveCarell']",7.0,Glenn Ficarra,"['crazy', 'lawschool', 'marriagecrisis', 'midlifecrisis', 'relationship', 'soulmates', 'womanizer']","crazy,stupid,love.",,6.1743813,9.438138,0,-11.609255,-11.696262,6.3907685,7,1.3746853,4.2441406,11,-10.972782,3.0689392,0
 Один день (2011),88179,One Day (2011),51828,"['Drama', 'Romance']","['AnneHathaway', 'JimSturgess', 'KenStott', 'PatriciaClarkson']",7.0,Lone Scherfig,"['author', 'basedonnovel', 'bestfriendsinlove', 'comedian', 'divorce', 'job', 'love', 'malefemalerelationship', 'missedopportunity', 'womandirector', 'writer']",oneday,,5.470292,10.842252,0,-9.358015,-13.215299,13.59973,13,0.86184657,4.097517,11,11.15682,-1.6322888,1
 Винни Пух (2011),88267,Winnie the Pooh (2011),51162,"['Animation', 'Family']","['BudLuckey', 'CraigFerguson', 'JimCummings', 'TravisOates']",6.8,Stephen Anderson,"['aftercreditsstinger', 'duringcreditsstinger', 'owl', 'tiger']",winniethepooh,,0.9089242,11.351789,0,2.5462322,-7.071206,-14.31742,18,1.2661664,3.6725042,11,8.796263,-3.688898,1
 Друзья с привилегиями (2011),88405,Friends with Benefits (2011),50544,"['Comedy', 'Romance']","['JustinTimberlake', 'MilaKunis', 'PatriciaClarkson', 'WoodyHarrelson']",6.5,Will Gluck,"['aftercreditsstinger', 'duringcreditsstinger', 'friends', 'funeral', 'hospital']",friendswithbenefits,,6.460098,7.691616,0,-9.254191,-20.254225,2.5438378,14,0.769135,3.282848,11,10.510063,-7.31785,1
 Наш брат-идиот (2011),88672,Our Idiot Brother (2011),59968,"['Comedy', 'Drama']","['ElizabethBanks', 'EmilyMortimer', 'PaulRudd', 'ZooeyDeschanel']",5.9,Jesse Peretz,"['brothersisterrelationship', 'duringcreditsstinger', 'familyclan', 'idealist', 'sistersisterrelationship']",ouridiotbrother,,7.1327934,7.761439,1,-19.51495,10.796431,3.1497498,16,1.1137407,3.8393385,11,-26.001162,0.740058,0
 Восстание планеты обезьян (2011),88744,Rise of the Planet of the Apes (2011),61791,"['Action', 'Drama', 'ScienceFiction', 'Thriller']","['BrianCox', 'FreidaPinto', 'JamesFranco', 'JohnLithgow']",7.0,Rupert Wyatt,"['alzheimersdisease', 'ape', 'cage', 'dystopia', 'goldengatebridge', 'intelligence', 'medicalresearch', 'monkey', 'zoo']",riseoftheplanetoftheapes,,0.9255617,5.24356,0,15.313475,7.170884,2.1405416,19,0.69885284,3.659144,11,9.838199,-1.8737906,1
 30 минут или меньше (2011),88812,30 Minutes or Less (2011),62206,"['Action', 'Adventure', 'Comedy']","['AzizAnsari', 'BiancaKajlich', 'DannyMcBride', 'JesseEisenberg']",5.6,Ruben Fleischer,"['adventure', 'aftercreditsstinger', 'comedy', 'numberintitle', 'pizzaboy', 'pizzadelivery']",30minutesorless,,3.7905762,13.67512,0,-7.443362,5.592225,-15.147535,3,-0.23643804,3.9939911,11,-1.1423272,-2.6486056,1
 Конечный пункт назначения 5 (2011),88932,Final Destination 5 (2011),55779,"['Horror', 'Mystery']","['EllenWroe', 'EmmaBell', 'MilesFisher', 'NicholasDAgosto']",5.9,Steven Quale,"['3d', 'crash', 'deathbyaccident', 'duringcreditsstinger', 'endishere', 'premonition']",finaldestination5,,5.6155787,7.5856366,0,-0.43694514,-11.307829,2.4311557,0,0.58788335,3.4825244,11,-18.064579,-0.63106024,0
 Не бойтесь темноты (2010),89028,Don't Be Afraid of the Dark (2010),46261,"['Fantasy', 'Horror', 'Thriller']","['AlanDale', 'BaileeMadison', 'GuyPearce', 'KatieHolmes']",5.4,Troy Nixey,"['bathtub', 'creature', 'monster', 'oldhouse', 'remake', 'scarylittlepeople', 'teeth']",don'tbeafraidofthedark,,4.7820067,6.400911,0,19.371805,0.085124046,1.5648816,17,1.0210662,3.7357383,11,16.891674,-5.1743402,1
 Другая Земля (2011),89039,Another Earth (2011),55420,"['Drama', 'ScienceFiction']","['BritMarling', 'DJFlava', 'Matthew-LeeErlbach', 'WilliamMapother']",6.8,Mike Cahill,"['cosmology', 'duplicate', 'earth', 'ego', 'janitor', 'planet', 'solarsystem', 'tragedy']",anotherearth,,5.577227,5.9356503,0,11.63568,9.514901,8.135806,19,0.8637709,4.1362185,11,7.9227743,-0.9830268,1
 Хешер (2010),89047,Hesher (2010),44835,['Drama'],"['AudreyWasilewski', 'JosephGordon-Levitt', 'NataliePortman', 'RainnWilson']",6.7,Spencer Susser,"['briefs', 'clerk', 'duringcreditsstinger', 'grocery', 'lossofmother', 'lossofrelative', 'lossofwife']",hesher,,4.659952,9.524378,0,-15.337273,18.879065,14.114953,2,0.86707336,3.6097164,11,-5.5381503,5.3799686,0
 Земля кола (2010),89072,Stake Land (2010),52015,"['Action', 'Drama', 'Horror', 'ScienceFiction', 'Thriller']","['ConnorPaolo', 'DanielleHarris', 'KellyMcGillis', 'NickDamici']",6.2,Jim Mickle,"['canada', 'malenudity', 'vampire']",stakeland,,7.198284,5.5372167,1,19.309822,2.897153,1.4577755,17,0.5934732,3.852949,11,4.8823853,-13.389955,1
 Колумбиана (2011),89087,Colombiana (2011),62835,"['Action', 'Crime', 'Drama', 'Thriller']","['CallumBlue', 'CliffCurtis', 'MichaelVartan', 'ZoeSaldana']",6.5,Olivier Megaton,"['femaleassassin', 'streetgang', 'uncle', 'witnesstomurder']",colombiana,,7.1106954,6.73437,1,12.955965,4.0579224,0.080088094,15,0.8014838,3.8769307,11,-11.305848,2.4099119,0
 Красный штат (2011),89343,Red State (2011),48572,"['Action', 'Horror', 'Thriller']","['JohnGoodman', 'MelissaLeo', 'MichaelAngarano', 'MichaelParks']",5.9,Kevin Smith,"['aftercreditsstinger', 'christian', 'christianity', 'duringcreditsstinger', 'gayinterest', 'homophobia', 'pastor', 'protest', 'religiousfundamentalism', 'sign', 'socialcommentary']",redstate,,19.436487,-0.19415888,1,18.89112,1.247024,-0.6523867,17,0.2866079,3.6551313,11,-0.27327254,5.4478965,1
" Я не знаю, как она это делает (2011)",89388,I Don't Know How She Does It (2011),70868,"['Comedy', 'Romance']","['BusyPhilipps', 'PierceBrosnan', 'SarahJessicaParker', 'SarahShahi']",5.0,Douglas McGrath,"['familyvacation', 'in-laws', 'pregnancy', 'widower', 'workingmum']",idon'tknowhowshedoesit,,4.2593026,5.332671,0,-9.254191,-20.254225,2.5438378,14,0.5861579,3.6192272,11,-17.12471,-0.24442253,0
 Заражение (2011),89470,Contagion (2011),39538,"['Drama', 'ScienceFiction', 'Thriller']","['GwynethPaltrow', 'JudeLaw', 'KateWinslet', 'MattDamon']",6.2,Steven Soderbergh,"['epidemic', 'infection', 'lethalvirus', 'medical', 'mutation', 'outbreak', 'quarantine', 'savingtheworld', 'scientist', 'terminalillness', 'vaccine']",contagion,,1.0680296,12.3604555,0,13.806682,9.282052,9.289499,19,0.4145737,3.1579006,11,17.463484,2.5612612,1
 Манибол (2011),89492,Moneyball (2011),60308,['Drama'],"['BradPitt', 'JonahHill', 'PhilipSeymourHoffman', 'RobinWright']",7.0,Bennett Miller,"['baseball', 'basedonnovel', 'meeting', 'oaklandcalifornia', 'partner', 'sport', 'statistics', 'strategy', 'teamwork', 'underdog', 'voiceover']",moneyball,,4.2115297,1.0212936,1,-15.337273,18.879065,14.114953,2,0.85798687,4.096404,11,9.086816,8.4874325,1
" Тинкер-портной, солдат-шпион (2011)",89753,Tinker Tailor Soldier Spy (2011),49517,"['Drama', 'Mystery', 'Thriller']","['BenedictCumberbatch', 'GaryOldman', 'JohnHurt', 'KathyBurke']",6.6,Tomas Alfredson,"['britishspy', 'coldwar', 'espionage', 'mole', 'spy', 'spying']",tinkertailorsoldierspy,,3.5372784,8.273559,0,14.424889,5.6083474,5.3987947,19,0.47437105,3.1927073,11,16.3239,-2.3085263,1
 Воин (2011),89774,Warrior (2011),59440,"['Action', 'Drama']","['JenniferMorrison', 'JoelEdgerton', 'NickNolte', 'TomHardy']",7.7,Gavin O'Connor,"['alcoholic', 'bank', 'beating', 'combat', 'exercise', 'gym', 'mixedmartialarts', 'muscleman', 'teacher', 'training']",warrior,,6.955559,6.273149,1,-9.073725,10.910952,2.1766336,6,0.18460983,3.1395118,11,12.725283,-0.6551253,1
 Список убийств (2011),89837,Kill List (2011),74725,"['Crime', 'Horror', 'Thriller']","['HarrySimpson', 'MichaelSmiley', 'MyAnnaBuring', 'NeilMaskell']",6.0,Ben Wheatley,"['bonfire', 'brutality', 'ceremony', 'contractkiller', 'cult', 'exsoldier', 'folkhorror', 'forest', 'hitman', 'hotel', 'infection', 'mumblegore', 'murderer', 'priest', 'ritualsacrifice', 'videotape', 'wifehusbandrelationship']",killlist,,5.8904724,8.13781,0,17.855247,0.7741982,1.0685726,17,0.29125676,3.7736585,11,4.728451,17.37577,1
 Убийственная элита (2011),89840,Killer Elite (2011),49021,"['Action', 'Adventure', 'Thriller']","['CliveOwen', 'DominicPurcell', 'JasonStatham', 'RobertDeNiro']",6.1,Gary McKendry,['rescue'],killerelite,,5.3566413,6.0093,0,17.111319,2.298493,-2.1201468,17,0.4065094,3.3011725,11,15.396342,-18.100985,1
 50/50 (2011),89864,50/50 (2011),40807,"['Comedy', 'Drama']","['AnnaKendrick', 'BryceDallasHoward', 'JosephGordon-Levitt', 'SethRogen']",7.0,Jonathan Levine,"['bestfriend', 'cancer', 'chemotherapy', 'doctor', 'driverslicense', 'fathersonrelationship', 'painter', 'patient', 'psychologist', 'therapist', 'therapistpatientrelationship', 'vomiting']",50/50,,1.7910315,10.901669,0,-19.51495,10.796431,3.1497498,16,0.24572974,3.4559977,11,5.908815,12.604729,1
 Художник (2011),89904,The Artist (2011),74643,"['Comedy', 'Drama', 'Romance']","['BéréniceBejo', 'JamesCromwell', 'JeanDujardin', 'JohnGoodman']",7.3,Michel Hazanavicius,"['dog', 'filmhistory', 'filmproducer', 'flapper', 'hollywood', 'hollywoodland', 'marquee', 'moviestar', 'moviestudio', 'mustache', 'silentfilm', 'silentfilmstar', 'terrier']",theartist,,2.0157783,8.515507,0,-11.609255,-11.696262,6.3907685,7,-0.22225697,3.6535213,11,-16.448666,2.5410807,0
Возьмите убежище (2011),90057,Take Shelter (2011),64720,"['Drama', 'Thriller']","['JessicaChastain', 'KatyMixon', 'MichaelShannon', 'SheaWhigham']",7.1,Jeff Nichols,"['apocalypse', 'endoftheworld', 'sanity', 'shelter']",takeshelter,,11.597803,-0.44964573,1,11.63568,9.514901,8.135806,19,0.10979066,3.2919893,11,6.9255905,-5.171957,1
 Настоящая сталь (2011),90249,Real Steel (2011),39254,"['Action', 'Drama', 'ScienceFiction']","['AnthonyMackie', 'DakotaGoyo', 'EvangelineLilly', 'HughJackman']",6.6,Shawn Levy,"['fathersonrelationship', 'fathersonreunion', 'fight', 'prizefighting', 'robot', 'robotfighting', 'sport']",realsteel,,9.445797,8.851731,1,14.045107,6.6068463,1.4919333,19,0.7115957,3.9555223,11,10.416933,-1.861933,1
 Марта Марси Мэй Марлен (2011),90374,Martha Marcy May Marlene (2011),50837,"['Drama', 'Thriller']","['ElizabethOlsen', 'HughDancy', 'JohnHawkes', 'SarahPaulson']",6.7,Sean Durkin,"['boundaryviolations', 'cult', 'mumblegore', 'sexualabuse']",marthamarcymaymarlene,,8.878148,8.782899,1,11.63568,9.514901,8.135806,19,0.5222244,3.740629,11,-12.228219,-0.8150129,0
 Нам нужно поговорить о Кевине (2011),90376,We Need to Talk About Kevin (2011),71859,"['Drama', 'Thriller']","['EzraMiller', 'JohnC.Reilly', 'SiobhanFallon', 'TildaSwinton']",7.4,Lynne Ramsay,"['brokenarm', 'guineapig', 'killingspree', 'pottytraining', 'prisonvisit', 'suburb', 'violence', 'womandirector']",weneedtotalkaboutkevin,,6.965604,8.411696,0,11.63568,9.514901,8.135806,19,0.025301294,3.8870866,11,1.7592678,6.636223,1
 Во времени (2011),90405,In Time (2011),49530,"['Action', 'ScienceFiction', 'Thriller']","['AmandaSeyfried', 'CillianMurphy', 'JustinTimberlake', 'OliviaWilde']",6.7,Andrew Niccol,"['bank', 'classdifferences', 'copsandrobbers\\\\\\\\xa0', 'dystopia', 'future', 'immortality', 'ontherun', 'raceagainsttime', 'richvspoor', 'time']",intime,,3.9562204,10.109782,0,18.693333,6.7124577,5.8964796,8,0.35438934,3.5105891,11,8.236064,-0.42121595,1
 Маргарет (2011),90428,Margaret (2011),44754,['Drama'],"['AnnaPaquin', 'MarkRuffalo', 'MattDamon', 'MatthewBroderick']",6.1,Kenneth Lonergan,"['blood', 'bus', 'family', 'investigation', 'newyork', 'nightmare', 'police', 'relationship', 'student', 'teacher', 'truth', 'witness']",margaret,,1.6447974,2.3800511,0,-15.337273,18.879065,14.114953,2,0.47764352,4.0810447,11,17.589144,-0.091172546,1
 Карнаж (2011),90430,Carnage (2011),72113,"['Comedy', 'Drama']","['ChristophWaltz', 'JodieFoster', 'JohnC.Reilly', 'KateWinslet']",7.0,Roman Polanski,"['darkcomedy', 'flat', 'hamster', 'insult', 'liberal', 'meeting', 'mobilephone', 'pants', 'puke', 'tulips', 'writer']",carnage,,4.2934175,10.558185,0,-19.51495,10.796431,3.1497498,16,-0.28595895,3.71074,11,7.719085,-1.7265545,1
 Маржинальное требование (2011),90439,Margin Call (2011),50839,"['Drama', 'Thriller']","['JeremyIrons', 'KevinSpacey', 'PaulBettany', 'ZacharyQuinto']",6.7,J.C. Chandor,"['21stcentury', 'brokerage', 'capitalism', 'downsizing', 'financialcrisis', 'investment', 'stockmarket', 'stockmarketcrash', 'wallstreet']",margincall,,20.325851,15.445369,1,11.63568,9.514901,8.135806,19,0.53344214,3.5755074,11,-12.24193,8.209968,0
 Паранормальное явление 3 (2011),90469,Paranormal Activity 3 (2011),72571,['Horror'],"['ChristopherNicholasSmith', 'KatieFeatherston', 'LaurenBittner', 'SpragueGrayden']",5.9,Henry Joost,"['foundfootage', 'haunting', 'prequel', 'sequel', 'sistersisterrelationship', 'witch']",paranormalactivity3,,0.69117093,6.7728415,0,0.8092462,-3.7382936,4.0298777,12,0.13774678,4.1091332,11,10.398228,-7.6346717,1
 Джонни Инглиш: Возрождение (2011),90522,Johnny English Reborn (2011),58233,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']","['DominicWest', 'GillianAnderson', 'RosamundPike', 'RowanAtkinson']",6.0,Oliver Parker,"['aftercreditsstinger', 'assassinationattempt', 'buddhistmonk', 'cooking', 'femaleboss', 'incompetence', 'jamesbondspoof', 'kitchen', 'klutz', 'mindcontrol', 'primeminister', 'secretagent', 'sequel']",johnnyenglishreborn,,7.942645,6.278646,1,12.111155,1.9931749,-6.7637677,1,-0.21384867,3.201723,11,-0.3675876,-2.3136802,1
